time,stndr10,stndr25,stndr100,enviro10,enviro25,enviro100,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 15:48:17 2026,0,0,0,0,0,0,108,28,3,0,0,0
Wed Feb 18 15:48:18 2026,0,0,0,0,0,0,108,28,3,0,0,0
Wed Feb 18 15:48:19 2026,0,0,0,0,0,0,120,32,4,0,0,0
Wed Feb 18 15:48:20 2026,0,0,0,0,0,0,120,32,4,0,0,0
Wed Feb 18 15:48:21 2026,0,0,0,0,0,0,120,32,4,0,0,0
Wed Feb 18 15:48:22 2026,0,0,0,0,0,0,132,38,5,0,0,0
Wed Feb 18 15:48:23 2026,0,0,0,0,0,0,132,38,5,0,0,0
Wed Feb 18 15:48:24 2026,0,0,0,0,0,0,132,38,5,0,0,0
Wed Feb 18 15:48:25 2026,0,0,0,0,0,0,144,42,4,0,0,0
Wed Feb 18 15:48:26 2026,0,0,0,0,0,0,144,42,4,0,0,0
Wed Feb 18 15:48:27 2026,0,0,0,0,0,0,144,42,4,0,0,0
Wed Feb 18 15:48:28 2026,0,0,0,0,0,0,126,34,9,0,0,0
Wed Feb 18 15:48:29 2026,0,0,0,0,0,0,126,34,9,0,0,0
Wed Feb 18 15:48:30 2026,0,0,0,0,0,0,126,34,9,0,0,0
Wed Feb 18 15:48:31 2026,0,0,0,0,0,0,144,42,9,0,0,0
Wed Feb 18 15:48:32 2026,0,0,0,0,0,0,144,42,9,0,0,0
Wed Feb 18 15:48:33 2026,0,0,0,0,0,0,144,42,9,0,0,0
Wed Feb 18 15:48:34 2026,0,0,0,0,0,0,138,38,8,0,0,0
Wed Feb 18 15:48:35 2026,0,0,0,0,0,0,138,38,8,0,0,0
Wed Feb 18 15:48:36 2026,0,0,0,0,0,0,138,38,8,0,0,0
Wed Feb 18 15:48:37 2026,0,0,0,0,0,0,129,37,8,0,0,0
Wed Feb 18 15:48:38 2026,0,0,0,0,0,0,129,37,8,0,0,0
Wed Feb 18 15:48:39 2026,0,0,0,0,0,0,129,37,8,0,0,0
Wed Feb 18 15:48:40 2026,0,0,0,0,0,0,141,39,7,0,0,0
Wed Feb 18 15:48:41 2026,0,0,0,0,0,0,141,39,7,0,0,0
Wed Feb 18 15:48:42 2026,0,0,0,0,0,0,141,39,7,0,0,0
Wed Feb 18 15:48:43 2026,0,0,0,0,0,0,150,42,10,1,1,0
Wed Feb 18 15:48:44 2026,0,0,0,0,0,0,150,42,10,1,1,0
Wed Feb 18 15:48:45 2026,0,0,0,0,0,0,150,42,10,1,1,0
Wed Feb 18 15:48:46 2026,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3752558,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3752804,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3752906,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3752992,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3753073,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3753154,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.375323,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3753312,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3753393,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3753474,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3753557,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3753638,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.375372,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.37538,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.375388,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3753958,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3754041,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.375412,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3754199,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3754275,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3754356,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3754437,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.375452,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3754601,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.375468,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3754756,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3755026,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3755116,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3755195,0,0,0,0,0,0,150,42,10,1,1,0
1771458526.3755271,0,0,0,0,0,0,150,42,10,1,1,0
