time,temp,gas,humidity,pressure,alt,stndr10,stndr25,stndr100,enviro10,enviro25,enviro100,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 25 14:32:34 2026,29.126875,15532,100,702.8021413906823,2981.2681602637194,0,0,0,0,0,0,78,23,0,0,0,0
Wed Feb 25 14:32:35 2026,17.7227734375,3092,64.25095410936443,1008.6856610492257,38.07073447068577,0,0,0,0,0,0,78,23,0,0,0,0
Wed Feb 25 14:32:36 2026,17.760859375,4520,64.12923871005822,1008.6872432602958,38.057513246127,0,0,0,0,0,0,78,23,0,0,0,0
Wed Feb 25 14:32:37 2026,17.805390625,5888,63.96833652039922,1008.6840839139394,38.08391329784732,0,0,0,0,0,0,120,32,3,0,0,0
Wed Feb 25 14:32:38 2026,17.8489453125,7477,63.78730183230781,1008.696488892239,37.98025551028092,0,0,0,0,0,0,120,32,3,0,0,0
Wed Feb 25 14:32:39 2026,17.8872265625,9059,63.625693376453235,1008.7035369481498,37.92136139853209,0,0,0,0,0,0,120,32,3,0,0,0
Wed Feb 25 14:32:40 2026,17.9200390625,10767,63.45668559110268,1008.7031837475319,37.92431276285403,0,0,0,0,0,0,123,33,3,0,0,0
Wed Feb 25 14:32:41 2026,17.94953125,12323,63.30067165442324,1008.7024525315604,37.93042284749672,0,0,0,0,0,0,123,33,3,0,0,0
Wed Feb 25 14:32:42 2026,17.9747265625,14014,63.15747790089287,1008.706598794218,37.89577647481893,0,0,0,0,0,0,123,33,3,0,0,0
Wed Feb 25 14:32:43 2026,17.99953125,15555,63.06772172772595,1008.7049297999765,37.90972265810901,0,0,0,0,0,0,132,36,3,0,0,0
Wed Feb 25 14:32:44 2026,18.02140625,17120,63.04430703647417,1008.7069780603425,37.89260731436692,0,0,0,0,0,0,132,36,3,0,0,0
Wed Feb 25 14:32:45 2026,18.0399609375,18694,63.04709736486027,1008.7086524057387,37.878616439649186,0,0,0,0,0,0,132,36,3,0,0,0
Wed Feb 25 14:32:46 2026,18.0555859375,20210,63.04277150563856,1008.6985597189152,37.96295148448023,0,0,0,0,0,0,141,39,4,0,0,0
Wed Feb 25 14:32:47 2026,18.0739453125,21742,63.065562627704516,1008.6999055699262,37.95170544011403,0,0,0,0,0,0,141,39,4,0,0,0
Wed Feb 25 14:32:48 2026,18.088984375,23161,63.17468491067306,1008.6991580220406,37.95795201168607,0,0,0,0,0,0,141,39,4,0,0,0
Wed Feb 25 14:32:49 2026,18.101875,24818,63.296912790411845,1008.6999914290537,37.95098799442555,0,0,0,0,0,0,150,40,4,0,0,0
Wed Feb 25 14:32:50 2026,18.1133984375,26496,63.385570001983226,1008.7088708041688,37.87679149793482,0,0,0,0,0,0,150,40,4,0,0,0
Wed Feb 25 14:32:51 2026,18.12296875,28019,63.473972010940635,1008.7093322932346,37.87293528699267,0,0,0,0,0,0,150,40,4,0,0,0
Wed Feb 25 14:32:52 2026,18.1329296875,29581,63.48216934143469,1008.7087234603853,37.87802270554426,0,0,0,0,0,0,135,35,5,0,0,0
Wed Feb 25 14:32:53 2026,18.14171875,31004,63.4433584286007,1008.7009984496243,37.9425732542746,0,0,0,0,0,0,135,35,5,0,0,0
Wed Feb 25 14:32:54 2026,18.151484375,32519,63.45152506676094,1008.7069469876428,37.8928669588532,0,0,0,0,0,0,135,35,5,0,0,0
Wed Feb 25 14:32:55 2026,18.1587109375,33941,63.48607028817662,1008.7035010914686,37.92166101894475,0,0,0,0,0,0,135,34,5,0,0,0
