time,temp,gas,humidity,pressure,alt,stndr10,stndr25,stndr100,enviro10,enviro25,enviro100,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 16:43:59 2026,29.902851562499997,31828,100,732.6422180898471,2652.7748306915064,0,0,0,0,0,0,174,44,2,0,0,0
Wed Feb 18 16:44:00 2026,19.9008984375,13912,34.154336972018285,1002.919584978614,86.36497073453512,0,0,0,0,0,0,174,44,2,0,0,0
Wed Feb 18 16:44:01 2026,19.93625,19086,34.12355093852452,1002.9209712114439,86.35333324203766,0,0,0,0,0,0,174,44,2,0,0,0
Wed Feb 18 16:44:02 2026,19.976875,23187,34.076208526759515,1002.9212278561271,86.35117869877793,0,0,0,0,0,0,174,42,3,0,0,0
Wed Feb 18 16:44:03 2026,20.0159375,26496,33.988945384478356,1002.9187759023276,86.3717629756005,0,0,0,0,0,0,174,42,3,0,0,0
Wed Feb 18 16:44:04 2026,20.048359375,29313,33.94086050576149,1002.9150795103689,86.40279445106667,0,0,0,0,0,0,174,42,3,0,0,0
Wed Feb 18 16:44:05 2026,20.075703125,31612,33.89798885425555,1002.9179641015985,86.37857809297942,0,0,0,0,0,0,180,44,3,0,0,0
Wed Feb 18 16:44:06 2026,20.0966015625,33886,33.84316485767693,1002.9165327181992,86.39059465611615,0,0,0,0,0,0,180,44,3,0,0,0
Wed Feb 18 16:44:07 2026,20.114375,35796,33.77103790928416,1002.9148191397792,86.40498028432424,0,0,0,0,0,0,180,44,3,0,0,0
Wed Feb 18 16:44:08 2026,20.1305859375,37526,33.74418311915803,1002.9189397017497,86.37038786985701,0,0,0,0,0,0,192,48,4,0,0,0
Wed Feb 18 16:44:09 2026,20.1450390625,38920,33.76256156459786,1002.9166060425537,86.38997909272284,0,0,0,0,0,0,192,48,4,0,0,0
Wed Feb 18 16:44:10 2026,20.1575390625,40499,33.814819754697034,1002.9126026461756,86.42358795533849,0,0,0,0,0,0,192,48,4,0,0,0
Wed Feb 18 16:44:11 2026,20.167890625,41750,33.95211086191484,1002.9134218379763,86.41671075970818,0,0,0,0,0,0,279,56,4,0,0,0
Wed Feb 18 16:44:12 2026,20.1751171875,43573,34.13474728916403,1002.913961243659,86.41218239850593,0,0,0,0,0,0,279,56,4,0,0,0
Wed Feb 18 16:44:13 2026,20.1778515625,44688,34.243147528163504,1002.9067356048206,86.47284247672448,0,0,0,0,0,0,279,56,4,0,0,0
Wed Feb 18 16:44:14 2026,20.1784375,46113,34.27167440405021,1002.9111632941152,86.43567146827766,0,0,0,0,0,0,258,51,4,0,0,0
Wed Feb 18 16:44:15 2026,20.1727734375,47123,34.27113680783824,1002.9082025718506,86.46052708930598,0,0,0,0,0,0,258,51,4,0,0,0
Wed Feb 18 16:44:16 2026,20.1716015625,48069,34.24824846930757,1002.9095918065518,86.44886428878719,0,0,0,0,0,0,258,51,4,0,0,0
Wed Feb 18 16:44:17 2026,20.1675,49373,34.30480814608168,1002.9059169668383,86.4797150600894,0,1,1,0,1,1,282,55,5,1,0,0
Wed Feb 18 16:44:18 2026,20.164765625,50201,34.327333825537686,1002.902897922626,86.50506040886515,0,1,1,0,1,1,282,55,5,1,0,0
Wed Feb 18 16:44:19 2026,20.1637890625,51498,34.35572756147142,1002.8960876908781,86.5622335973446,0,0,0,0,0,0,282,55,5,1,0,0
Wed Feb 18 16:44:54 2026,20.1622265625,52532,34.36697506063896,1002.891679475539,86.5992415696282,0,0,0,0,0,0,276,55,6,1,0,0
