time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 15:13:19 2026,29.126875,66401,100,702.8021413906823,2981.2681602637194,1,3,6,1,3,6,597,107,24,10,6,1
Wed Feb 18 15:13:20 2026,18.379609375,20628,37.24677286622507,1003.5355929275466,81.19483641387819,1,3,6,1,3,6,597,107,24,10,6,1
Wed Feb 18 15:13:21 2026,18.4133984375,30375,37.18075283402134,1003.5416888070248,81.14368674108222,1,3,6,1,3,6,576,107,23,9,6,1
Wed Feb 18 15:13:22 2026,18.4536328125,38280,37.08072064254471,1003.5395285903613,81.161812788434,1,3,6,1,3,6,576,107,23,9,6,1
Wed Feb 18 15:13:23 2026,18.4909375,44975,36.99777764108046,1003.5411124717792,81.14852267881359,1,3,6,1,3,6,576,107,23,9,6,1
Wed Feb 18 15:13:24 2026,18.5282421875,50657,36.90909705148269,1003.5426903484679,81.13528297085999,1,3,7,1,3,7,567,107,21,10,7,1
Wed Feb 18 15:13:25 2026,18.5614453125,55637,36.84313328432031,1003.5443511012182,81.1213478814939,1,3,7,1,3,7,567,107,21,10,7,1
Wed Feb 18 15:13:26 2026,18.5907421875,59597,36.77680374731461,1003.546420231686,81.10398619138567,1,3,7,1,3,7,567,107,21,10,7,1
Wed Feb 18 15:13:27 2026,18.6165234375,63290,36.72744954838785,1003.5478248187256,81.09220057848275,1,3,7,1,3,7,588,110,21,10,7,1
Wed Feb 18 15:13:28 2026,18.6391796875,66559,36.68932961384343,1003.5492133429818,81.08054975835513,1,3,7,1,3,7,588,110,21,10,7,1
Wed Feb 18 15:13:29 2026,18.6598828125,69142,36.67408431630648,1003.5525288083059,81.0527304266815,1,3,7,1,3,7,588,110,21,10,7,1
Wed Feb 18 15:13:30 2026,18.678828125,71625,36.664431012027165,1003.5546515398943,81.034919097413,1,3,7,1,3,7,603,114,21,10,7,1
